feature,coef,odds_ratio_per_SD
BMI,1.3719207207717845,3.9429166690307955
BMI_squared,-0.9297979694987428,0.3946334303081386
GenHlth,0.5662676375393426,1.7616795390098794
Age,0.40525721926789027,1.4996881991506703
HighBP,0.3466880425255007,1.4143754315539336
HighChol,0.2770129720219819,1.3191834834011125
CholCheck,0.22918639417570574,1.257576422085922
HvyAlcoholConsump,-0.16478327319698027,0.8480774852941406
Sex,0.11916565151010264,1.1265565186211384
Income,-0.1157587101821703,0.8906901118260483
HeartDiseaseorAttack,0.06727023018659185,1.0695844731370119
PhysHlth,-0.05478842059801896,0.9466854259016689
DiffWalk,0.03585408124223493,1.0365045899934224
Stroke,0.02870829067133563,1.0291243455126067
MentHlth,-0.02686019939140299,0.9734973275305182
Education,-0.024783067048245743,0.9755215118370799
Fruits,-0.018541912315599016,0.9816289313880205
PhysActivity,-0.01765417921716447,0.9825007427914598
AnyHealthcare,0.016653902059936457,1.0167933513361693
Veggies,-0.010181478570768426,0.9898701772227476
NoDocbcCost,0.0037556869899206258,1.0037627484197096
Smoker,-0.0006277992919530471,0.9993723977327896
