Gruppe,n,Prävalenz,PR-AUC,Recall,Precision,F1,Pos-Rate
<10k,1941,0.245,0.52,0.884,0.365,0.516,0.594
10–15k,2325,0.271,0.486,0.917,0.371,0.528,0.671
15–20k,3162,0.223,0.472,0.904,0.338,0.492,0.597
20–25k,3990,0.195,0.474,0.886,0.319,0.469,0.542
25–35k,5174,0.172,0.444,0.848,0.301,0.444,0.485
35–50k,7281,0.142,0.386,0.802,0.286,0.422,0.399
50–75k,8730,0.124,0.388,0.749,0.286,0.414,0.325
>75k,18133,0.081,0.336,0.637,0.264,0.373,0.195
