iter	Passed	Remaining
418	44795	62114
419	44885	61985
420	44972	61850
421	45058	61714
422	45142	61577
423	45218	61429
424	45303	61292
425	45396	61167
426	45483	61035
427	45568	60900
428	45652	60762
429	45728	60616
430	45813	60482
431	45894	60342
432	45972	60199
433	46052	60059
434	46144	59934
435	46260	59841
436	46400	59778
437	46492	59654
438	46579	59524
439	46668	59396
440	46759	59271
441	46853	59150
442	46952	59035
443	47042	58908
444	47146	58800
445	47226	58662
446	47308	58526
447	47385	58385
448	47474	58259
449	47554	58122
450	47632	57983
451	47719	57854
452	47794	57711
453	47869	57569
454	47955	57440
455	48037	57308
456	48122	57178
457	48204	57045
458	48282	56908
459	48365	56776
460	48450	56648
461	48537	56522
462	48628	56400
463	48711	56269
464	48794	56140
465	48878	56010
466	48960	55879
467	49046	55753
468	49132	55627
469	49207	55489
470	49291	55360
471	49382	55241
472	49468	55116
473	49556	54993
474	49649	54875
475	49750	54767
476	49847	54654
477	49938	54535
478	50019	54404
479	50102	54277
480	50194	54159
481	50279	54034
482	50365	53910
483	50452	53787
484	50526	53652
485	50605	53520
486	50690	53396
487	50777	53275
488	50855	53143
489	50944	53023
490	51034	52905
491	51117	52779
492	51199	52653
493	51288	52534
494	51372	52410
495	51457	52287
496	51554	52176
497	51629	52044
498	51721	51928
499	51800	51800
500	51878	51671
501	51969	51555
502	52044	51423
503	52128	51301
504	52216	51182
505	52302	51062
506	52391	50944
507	52469	50817
508	52551	50693
509	52629	50565
510	52708	50438
511	52789	50315
512	52876	50197
513	52957	50072
514	53046	49956
515	53145	49849
516	53222	49722
517	53302	49597
518	53394	49484
519	53484	49370
520	53568	49250
521	53657	49134
522	53738	49012
523	53814	48885
524	53900	48766
525	53985	48648
526	54063	48524
527	54154	48410
528	54239	48292
529	54340	48188
530	54428	48073
531	54510	47953
532	54589	47829
533	54683	47719
534	54773	47606
535	54858	47489
536	54947	47375
537	55031	47257
538	55120	47143
539	55204	47025
540	55303	46920
541	55393	46808
542	55472	46686
543	55551	46565
544	55634	46447
545	55723	46333
546	55804	46214
547	55897	46105
548	55975	45983
549	56059	45867
550	56142	45749
551	56228	45634
552	56320	45525
553	56399	45404
554	56485	45290
555	56579	45182
556	56670	45072
557	56757	44958
558	56849	44848
559	56897	44704
560	56983	44591
561	57064	44474
562	57160	44367
563	57251	44258
564	57335	44143
565	57420	44029
566	57506	43915
567	57591	43802
568	57680	43691
569	57756	43570
570	57846	43461
571	57933	43348
572	58016	43233
573	58101	43120
57574	58332	431157575	58414	429957576	58497	428857577	58591	427757578	58673	426657579	58749	425458580	58840	424358581	58934	423258582	59015	422158583	59104	421058584	59188	419858585	59287	418858586	59372	417758587	59465	416658588	59546	415558589	59631	414359590	59732	413359591	59827	412359592	59903	411159593	59990	410059594	60085	408959595	60167	407859596	60258	406759597	60348	405659598	60440	404659599	60525	403560600	60614	402460601	60707	401360602	60799	400260603	60885	399160604	60979	398160605	61068	397060606	61156	39595
607	61242	394860608	61326	393760609	61408	392661610	61501	391561611	61586	390461612	61672	389361613	61745	388161614	61824	387061615	61905	385961616	61993	38482
617	62085	38376
618	62175	38269
619	62264	38162
620	62350	38052
621	62441	37947
622	62531	37840
623	62618	37731
624	62688	376162625	62775	375062626	62872	37402
627	62956	37292
628	63038	371862629	63127	37074
630	63216	36968
631	63303	36860
632	63397	36756
633	63488	36651
634	63574	36542
635	63661	36435
636	63752	36329
637	63848	36227
638	63936	36120
639	64018	36010
640	64095	35897
641	64179	357864642	64262	356764643	64347	355764644	64436	35464
645	64536	35365
646	64623	35258
647	64713	35152
648	64799	35045
649	64887	34939
650	64972	34831
651	65064	34727
652	65143	346165653	65233	34511
654	65313	344065655	65393	342965656	65475	341865657	65561	34075
658	65662	33977
659	65760	33876
660	65852	33773
661	65950	33672
