iter	Logloss
0	0.661653456511	0.634446526522	0.6147257393	3	0.5971739674	4	0.58306801855	0.571117350466	0.561200541777	0.553049702
8	0.5457219799	9	0.54023641811010	0.5333159911111	0.5291655611212	0.5256502011313	0.522972371414	0.52052508715	0.5195680847
16	0.5178152052
17	0.5161152806
18	0.5155073442
19	0.51348055420	020	0.512675921	021	0.511842022	022	0.510883523	023	0.510009724	024	0.509141925	25	0.508512526	026	0.507990927	027	0.507473028	028	0.506985529	029	0.506514230	030	0.506053931	031	0.505525232	032	0.505201133	033	0.504873934	034	0.504541135335	0.5042707336	36	0.503951937	037	0.503675838	038	0.503357639	039	0.503150140	440	0.502945841	441	0.502794742	442	0.5025823443	43	0.502429444	044	0.502227345	045	0.502063646	046	0.501923847	047	0.501727748	048	0.501568349	049	0.501384550	050	0.501263151	051	0.5011252	0.552	0.5009853	0.553	0.5008554	0.554	0.5007455	0.55	0.50063656	0.56	0.50048557	0.57	0.50036858	0.58	0.50026159	0.59	0.50015160	0.60	0.50008561	0.61	0.5000062	0.562	0.4998563	0.563	0.4997464	0.564	0.4996565	0.565	0.4995366	0.566	0.4994267	0.567	0.4992968	0.568	0.4992069	0.569	0.4991170	0.470	0.499071	0.4971	0.498972	0.472	0.4988573	0.473	0.4987374	0.4995956043
75	0.4994780113
76	0.4993832278
77	0.499280273
78	0.4992156383
79	0.4990980638
80	0.480	0.4981881	0.481	0.4981082	0.82	0.49798683	0.83	0.49789684	0.84	0.49779185	0.85	0.49768986	0.86	0.49760287	0.87	0.49752088	0.88	0.49743589	0.89	0.49734790	0.90	0.49725591	0.91	0.4971992	0.492	0.4971046808
93	0.4970213839
94	0.4969295	0.95	0.49681696	0.96	0.49671097	0.97	0.4966070648
98	0.49652899	0.99	0.496449100	0100	0.4964010696
101	0.4963567278
102	0.4962852367
103	0.4962030412
104	0.4961216598
105	0.4960636909
106	0.4960111056
107	0.4959551363
108	0.4958730121
109	0.4958204547
110	0.4957786765
111	0.4957433608
112	0.4956781262
113	0.495602592
114	0.4955190477
115	0.4954385561
116	0.4953646124
117	0.4952744189
118	0.4952434378
119	0.4951518566
120	0.4950930401
121	0.4950126609
122	0.4949527926
123	0.4949064604
124	0.4948379553
125	0.4947771742
126	0.4946883929
127	0.4945591887
128	0.49445218
129	0.4944004477
130	0.4943471131	131	0.4942848132	132	0.4941667472
133	0.4940714793
134	0.4940173135	135	0.493895026
136	0.4938261557
137	0.49371547138138	0.49362888139139	0.49351428140140	0.4934474141	141	0.4933394178
142	0.4932362419
143	0.4931396142
144	0.4930586318
145	0.4929705505
146	0.4928932521
147	0.4928040625
148	0.4926568312
149	0.4925543802
150	0.4924845988
151	0.4924003735
152	0.4923373371
153	0.4922498936
154	0.4921682421
155	0.492110823
156	0.4920236499
157	0.4919352909
158	0.4918305832
159	0.4917669451
160	0.4916491762
161	0.4915692347
162	0.4914701593
163	0.4914147163
164	0.4913098816
165	0.4912157714
166	0.491115917
167	0.4910458904
168	0.4909433299
169	0.4908611904
170	0.4908086411
171	0.4907556785
172	0.4906987258
173	0.4906209962
174	0.4905649126
175	0.4905003043
176	0.4904504178
177	0.4903654453
178	0.4903141308
179	0.4902159556
180	0.4901064882
181	0.49002927
182	0.4899199366
183	0.4898574391
184	0.489762901
185	0.4896741643
186	0.4896247318
187	0.4895204044
188	0.4894426666
189	0.4893863612
190	0.4893165898
191	0.4892225606
192	0.4891615896
193	0.4890878485
194	0.4889956668
195	0.4888919504
196	0.4888170671
197	0.4887251383
198	0.4886686685
199	0.4886021142
200	0.4885538921
201	0.4884743309
202	0.4883844889
203	0.4883190237
204	0.4882270839
205	0.4881856035
206	0.4881209884
207	0.4880412283
208	0.4879981986
209	0.4879205303
210	0.4877881118
211	0.4877352601
212	0.4876375567
213	0.4875464611
214	0.487495241
215	0.4874253422
216	0.4873329325
217	0.4872811258
218	0.4871352733
219	0.4870957634
220	0.48701233
221	0.4869443109
222	0.4868705507
223	0.4867715086
224	0.4866631741
225	0.4865812415
226	0.4865138259
227	0.4864209223
228	0.4863872192
229	0.4863511705
230	0.4862778117
231	0.4861786905
232	0.4861214825
233	0.4860503497
234	0.4859911186
235	0.4858934962
236	0.4858561114
237	0.4857884082
238	0.4857084396
239	0.4856289624
240	0.4855341766
241	0.4854462958
242	0.4853993461
243	0.485337195
244	0.4852750434
245	0.485200158
246	0.4851399329
247	0.485049152
248	0.4849771837
249	0.4849418893
250	0.4848579057
251	0.4847976994
