model,pr_auc_mean,pr_auc_std,roc_auc_mean
Dummy,0.13932976251589985,9.295990339304273e-06,0.5
LogisticRegression,0.4041273701823996,0.007567070194355227,0.8231091035093854
LightGBM,0.43427113210278845,0.00905379309491439,0.8301550853262765
